"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"10460","0","152","Bizarre Creations","0","28","The Club","41","23609","4868","0","0","8657","2947","43","1499","SEGA","9","53"
"307880","41","369","Signal Studios, Smart Ghost","43","102","Savage Lands","2522","471665","21749","2759","2041","296168","17238","2960","1499","Signal Studios","11","55"
"395760","174","65","Decent Software LLC","327","54","Decent Icons","12","3410","1850","1571","2175","3924","2428","54","299","Decent Software LLC","49","80"
"564330","155","80","BitBreak I/S","155","78","In Your Face TD","0","5509","2351","791","1550","3935","1987","34","0","BitBreak I/S","100","100"
"496500","160","255","Belarus Games","175","271","Moon Colonization Project","177","270984","16489","5490","4064","234783","15348","132","75","BadDoge","5","30"
"671510","0","137","Nearga","0","137","DESOLATE","0","1182","1335","0","0","788","1090","0","0","HypeTrain Digital","","0"
"284730","451","205","Artifex Mundi","451","196","Dark Arcana: The Carnival","39","79748","8946","788","1091","48793","6998","347","999","Artifex Mundi","70","89"
"109600","657","1686","Cryptic Studios","194","288","Neverwinter","4559","5410507","73296","86306","9307","3473742","58846","16795","0","Perfect World Entertainment","42","78"
"619930","0","0","Grey Alien Games","0","0","Spring Bonus","0","1836","1357","0","0","0","0","0","699","Grey Alien Games","","0"
"751580","0","0","dev4play","0","0","Mankind Defender (Restocked)","0","788","1090","0","0","0","0","0","199","dev4play","","0"
"512370","0","0","Crowned Daemon Studios","0","0","Hero Boy","0","791","1550","0","0","0","0","5","499","Crowned Daemon Studios","100","100"
"727100","146","810","Orch Star Studios","146","810","Orch Star","0","791","1550","791","1550","791","1550","0","1499","Orch Star Studios","","0"
"314320","241","906","gnifrebel Games UG","241","628","GamersGoMakers","81","15740","3975","784","1536","11280","3365","310","999","gnifrebel Games UG","44","79"
"512750","0","99","Sylvan Studios LLC","0","99","One Giant Leap","0","788","1091","0","0","785","1538","13","399","Sylvan Studios LLC","100","100"
"336700","0","131","Hyper Hippo Games","0","160","Elastrix","2","2886","1702","0","0","3139","2172","17","299","Hyper Hippo Games","70","88"
